FAC3_1,FAC4_1,FAC5_1,FAC6_1,FAC7_1,FAC8_1,FAC9_1,FAC10_1,FAC11_1,FAC12_1,FAC13_1,FAC14_1,FAC15_1,FAC16_1,FAC17_1,FAC18_1,FAC19_1,FAC20_1,FAC21_1,FAC22_1,FAC23_1,FAC24_1,FAC25_1,FAC26_1,FAC27_1,FAC28_1,FAC29_1,FAC30_1,y
-0.73121,0.64946,0.01233,0.11940,0.17792,0.41440,0.55244,0.58430,-1.03800,-0.64478,-0.27601,-0.62893,0.25701,0.37767,-0.05566,-0.71305,0.32818,0.11347,-0.21657,-0.19788,0.16870,0.51189,1.01436,0.93702,0.75528,1.62755,0.09261,2.01874,0
0.04340,2.40931,-0.69881,0.07484,-0.88521,-0.20858,0.10788,1.56633,0.39878,2.94156,-1.16477,1.06551,0.85626,0.43004,0.68687,-0.26338,-0.15405,0.52101,0.12572,-1.14600,-0.62214,0.45206,0.16005,-0.66723,0.96854,-0.02796,-0.79106,-2.25358,1
-0.49106,1.18172,-0.21804,0.28832,1.07972,0.01915,-0.06196,0.44175,0.54277,0.24188,-1.20651,-0.06705,1.01101,0.92484,-0.32767,-0.58681,0.22908,0.59201,-0.32372,0.05684,-0.51271,-0.41076,0.63934,0.90030,-0.67475,0.07832,0.04196,1.48796,0
1.07205,1.65114,-0.60673,0.53780,0.45830,0.48340,-0.68453,0.87893,0.17137,-0.75379,1.26727,0.60984,-0.88003,-0.03575,-0.40109,-0.65071,0.48332,-0.23375,-0.30291,0.36633,-0.44015,0.45900,0.61208,0.23626,-0.52539,0.03031,1.15406,-0.20110,0
0.97349,0.74789,0.76962,0.26252,-0.38335,0.13238,0.49247,-0.47605,0.21175,0.04994,0.60633,-0.06326,0.14745,-0.12974,0.41322,0.77933,-0.40446,0.50313,-0.36862,0.10151,-1.10344,0.96129,-0.32084,0.47981,0.48687,0.45872,-1.53466,-0.19378,1
-0.30854,0.56633,0.02952,0.49276,0.88798,-0.15510,0.33122,0.87680,0.66604,0.76461,-0.79889,0.65158,0.38232,-0.44486,-1.01500,0.71624,0.53474,-0.40591,0.42538,0.44921,1.07470,0.10439,0.15427,0.74102,0.41941,-0.98755,0.00517,0.50833,0
-1.07571,-0.27646,-0.13550,0.54535,-0.05236,1.79631,0.83688,2.53701,-1.39889,0.43912,-1.89164,-1.10844,-0.47597,-0.27417,-0.84495,-1.41121,0.86727,0.85816,-0.08069,1.49312,0.25255,1.27494,-0.09691,0.70924,0.98506,1.11972,2.56706,3.27955,0
-0.18479,0.87997,0.15209,0.38770,0.51071,-0.24609,0.64531,0.81388,-0.72874,0.50479,-0.61857,0.28488,0.87932,0.18950,-0.42730,-0.79665,0.21371,0.74239,0.09097,-0.00067,-0.79218,-0.76540,0.49456,0.54571,-0.48851,-0.38866,0.44485,1.59932,0
-0.15401,0.36576,0.35419,0.72765,0.70097,0.14819,0.34313,0.56831,0.39436,-0.57038,-0.19372,0.74572,0.36735,-0.60810,-0.52639,-0.27804,0.94256,-0.02190,0.72609,0.47054,-0.11563,0.17334,0.51425,-0.19241,-0.36097,-0.30099,1.60378,-0.23252,1
1.84731,-0.61141,1.62902,0.61373,0.99202,-0.08589,0.57244,1.20682,-1.54190,-0.58803,2.52443,0.84413,-1.95652,3.91665,-1.90827,0.72252,-1.19259,1.38648,1.93486,0.17055,1.60462,-0.80577,-3.26052,1.63310,1.75474,1.03934,-1.15413,2.75625,0
-0.15882,1.20082,-0.69831,0.74436,0.50959,0.00284,0.04979,0.66941,0.63554,-0.42174,-0.34355,0.55129,0.59020,0.84628,-0.43569,0.21679,0.21456,0.64145,0.42262,0.37996,-0.18814,-0.39542,-0.59641,-0.14534,-1.22776,-0.64043,0.25007,-0.51205,1
1.75470,1.08378,1.76857,0.69036,-0.31303,0.52896,1.10005,1.10548,0.50685,-0.12924,2.94176,1.20162,-1.52915,0.44152,-1.34765,0.21103,-0.97739,-0.61251,0.56186,0.72833,-0.02950,1.14797,0.30168,0.28579,0.47115,-2.03978,0.56739,-0.58904,0
-0.25572,1.01142,0.21391,0.15554,0.72683,-0.14785,0.35598,0.19031,-0.04647,-0.44817,-0.33370,0.23631,0.30051,0.13084,0.50174,-0.71454,0.21537,0.15070,0.25711,0.03451,-0.23784,0.49952,0.17800,1.18547,0.27305,0.82494,-1.99399,0.28519,1
-0.64526,1.08265,0.40124,0.51458,0.41914,-0.41956,0.50020,0.32287,-0.15863,-0.14596,-1.11247,0.60253,0.22577,-0.37553,0.56785,-0.19145,0.16855,-0.07397,0.58320,0.86287,0.30259,0.49875,-0.17383,0.61268,-0.42898,-0.46690,0.93772,0.72558,0
-0.40067,1.27660,-0.37262,0.14985,0.37277,0.14617,-0.22319,0.85742,-0.49168,-0.02160,-0.39836,-0.00469,1.62594,1.14999,-0.28402,-2.17092,0.88679,0.06338,0.40302,0.14007,-0.96805,-1.25353,1.53202,0.93821,-1.57078,-0.51771,-0.48633,1.34555,1
-0.21631,0.94614,-0.16028,-0.02499,0.38671,-0.00482,-0.09699,0.33380,-0.28775,-0.24439,-0.33381,0.24843,0.94649,0.32824,-0.17519,-0.54313,0.43996,0.06822,0.52803,0.29172,-0.14932,0.31784,0.77979,1.72905,0.82675,0.70118,-2.16810,0.64622,0
0.58872,0.97385,-0.29076,0.22554,0.80975,0.33080,-0.58777,0.34821,0.86883,-0.95939,0.62575,-0.03478,-0.30319,-0.11648,0.19992,0.20716,-0.15188,0.22919,-0.09499,0.01865,-0.14145,1.02800,-0.32882,-0.24111,-0.37287,-0.24131,1.00184,-0.74200,0
0.71839,0.94621,0.38236,0.05365,0.14564,-0.18955,0.39997,-0.42890,-0.73290,-0.61406,0.50063,-0.33007,0.12921,0.06284,0.68944,-0.28839,-0.16752,0.19226,-0.19989,0.11897,-0.02949,-0.34182,-0.04152,-0.84232,0.48353,-0.13722,0.66605,-0.95357,0
-0.06596,1.43817,-0.03499,0.09112,-0.13965,-0.44240,0.34285,0.63650,-0.88003,-0.27379,-0.81240,0.49891,0.30485,-0.51628,0.45666,-0.22819,0.03103,-0.46854,0.63183,0.56844,0.11657,0.48062,-0.43015,0.18518,-0.14510,-0.50777,1.68294,-0.12148,0
1.18436,-0.08354,3.04096,0.56468,-1.21463,0.55221,0.41453,2.07164,-0.74817,-1.01863,1.11356,0.33973,0.43432,2.31512,-0.99538,0.41830,-0.67508,-1.02203,1.79474,0.08697,1.04425,0.61871,0.79276,1.32695,1.81909,-0.02125,-1.42614,1.32884,0
1.10856,1.89750,-0.13135,0.41209,-0.67092,0.67078,0.05832,-0.00335,0.17101,-0.49925,1.59394,-0.73472,-0.92829,0.42542,0.80670,-0.73158,-0.23847,0.02489,-1.11106,-0.17517,-0.44665,0.43847,0.52085,-0.19696,0.48098,-0.54299,2.08504,0.19098,0
-0.00252,0.39513,0.98156,0.32022,1.15940,-0.70452,-0.77435,-0.38221,1.30024,0.65903,0.33134,0.48215,0.12122,-0.34216,-0.24288,0.33712,-0.23786,-0.58938,-0.69221,0.78580,0.36523,-0.29144,0.31099,-0.58397,0.11997,1.06573,1.28151,-1.70265,0
-0.48767,1.64691,-0.51576,0.26144,0.53874,-0.27334,-0.50496,0.81067,-0.28202,0.98080,-1.34708,0.04774,1.08721,0.64315,-0.35944,0.24156,0.19340,0.51225,0.67710,0.39939,0.34173,-0.07842,-0.31809,0.35901,-0.89118,-0.70812,0.61026,-0.17016,1
0.26218,0.75580,-0.46833,-0.12859,0.91545,1.13367,-1.90063,0.56902,2.31983,-0.64585,-0.55771,-0.55267,0.39799,-0.95162,0.63754,-0.69254,-0.10739,-0.41396,-0.03408,1.06257,-0.28779,0.61903,0.07104,0.57560,-0.12019,-1.07624,-0.00850,1.27075,0
-0.31845,1.08726,-0.16231,0.03742,0.43421,-0.03261,-0.08435,0.44589,-0.12280,-0.35271,-0.58483,-0.01924,1.01673,0.33267,-0.19142,-0.09022,0.20597,0.43593,0.44393,0.30264,-0.19946,0.23232,-0.40142,0.64429,0.33697,-0.74235,0.81558,0.23525,0
-0.17296,0.87570,-0.11003,0.12498,0.22895,-0.17317,0.08912,0.68714,-0.08681,-0.15556,-0.93604,-0.29183,0.79729,0.07498,0.70013,-0.57222,0.06312,0.31005,-0.31297,0.23294,-0.38027,-0.43778,0.77479,0.64499,-0.48248,-0.50416,1.09422,1.96705,0
-0.11429,-0.38285,0.49054,0.36181,0.28973,0.35055,0.82627,0.63225,-0.88354,-0.76247,2.58521,0.19283,0.89719,-1.22506,-0.14278,-0.90419,0.34364,-0.02978,0.58520,0.51852,0.47387,1.08995,1.31754,-0.40418,0.92364,1.61497,0.25083,0.27112,0
-0.05641,0.95189,-0.29872,0.37067,0.30528,-0.28437,0.25493,0.12903,-0.26135,-0.21832,-0.93655,0.35634,-0.05100,-0.14643,0.22124,-0.18872,-0.12212,0.35081,0.18022,-0.25572,-0.01601,0.39287,0.04673,-0.23893,0.15936,0.04734,0.02957,-0.36882,0
-0.21208,0.83102,0.15035,0.20175,-0.23128,0.11402,0.91330,-0.05124,0.53114,-0.58098,0.59594,-0.44795,0.41784,0.27691,-0.17273,0.68151,0.94761,0.42035,0.47838,0.09236,-0.16750,1.43154,-0.29952,-0.04322,1.11125,-1.13291,-0.02096,-1.16216,0
0.40889,2.62277,0.68862,0.03135,-0.50011,-0.39824,0.20442,1.93492,-1.77026,-0.52583,0.06299,0.37148,-1.25098,0.69578,0.24284,-0.80596,-1.82829,-0.84224,0.42267,0.16408,1.78199,-0.70244,-0.85018,0.07350,-0.12689,-0.96184,2.50260,0.21432,1
-0.13654,1.02407,-0.50524,-0.00114,0.57145,-0.03139,-0.12885,0.35395,0.12953,-0.19572,-0.31120,-0.04621,0.68718,0.23627,-0.36944,0.22941,0.36576,-0.44088,0.08959,0.38878,1.10111,-0.22388,-0.21212,0.49517,-0.09039,-0.99241,0.73951,-0.15413,0
-0.25843,1.05124,-0.21687,0.03304,0.20805,-0.05619,-0.01111,0.42431,0.10320,-0.15413,-0.41334,0.47070,0.73607,-0.29112,0.22079,0.00098,-0.13284,0.24371,0.35726,0.25842,-0.06582,0.58263,0.04911,0.37754,0.25933,-0.19204,0.18004,0.11296,1
-0.16273,0.94224,-0.28272,0.27874,-0.64869,-0.07349,0.60696,0.46809,0.12075,-0.25831,-0.42761,-0.59737,0.54478,0.47269,0.03288,0.40687,0.66590,0.17732,0.16433,-0.19323,-0.86173,1.07899,0.41366,0.27319,0.57933,-0.65151,0.60390,0.27552,0
-0.12743,0.59266,0.03841,0.31756,0.26012,-0.24943,1.09096,-0.08525,-0.76804,-0.98985,0.86557,0.34271,0.01652,-0.06320,-0.72041,0.04306,0.61716,0.05495,0.86526,0.00120,-0.15555,0.39823,0.10958,0.12625,1.81013,0.53266,0.07508,-0.79587,0
-0.10074,0.30050,-0.38178,-0.34188,-0.41825,0.88282,-1.08289,1.51992,-0.97441,-0.70111,0.32387,-1.14805,2.19079,-0.28287,0.77753,-1.17582,1.06550,0.63225,-0.04414,0.03444,-0.34643,-0.11729,0.62850,1.28968,0.48804,-0.62918,1.09206,0.09252,0
0.01205,0.48553,0.45484,0.14032,1.19224,-0.07570,0.05638,0.34333,0.86549,0.23805,-0.30765,0.69813,-0.43562,-0.48256,-0.88347,-0.46533,-0.01083,-0.13792,0.23589,0.11321,0.24055,-0.16509,0.13112,0.38287,0.09358,0.34990,-0.96851,0.90506,0
-0.14191,0.46339,0.31321,0.26944,0.25713,-0.27852,0.46538,0.41364,0.02484,-0.28046,-0.60942,0.59120,0.30125,-1.14339,0.57282,0.82012,0.18671,-0.35129,0.43844,0.89005,0.79388,0.66425,-0.50686,1.13075,0.63315,-0.80401,0.61660,-0.01967,0
0.12149,0.61752,0.52504,0.18881,0.07472,0.05315,0.31510,0.02978,-0.92336,-0.59968,0.89685,0.22667,0.76928,0.68317,-0.83922,-0.48553,-0.50989,0.55401,-0.07385,0.77884,-0.30678,-1.15478,0.48218,0.29901,1.19733,-0.44019,0.11082,0.98521,0
0.12968,0.64903,-0.06588,0.57860,-0.10505,-0.78771,0.97502,0.64678,-0.95561,0.37903,-1.05394,0.39319,-0.96949,-0.12258,-0.43903,-0.30693,0.35025,-1.16013,-0.22480,-0.19966,1.58035,0.71993,0.71361,0.41105,-0.07035,1.12206,-0.48841,0.60940,0
1.05820,-0.09679,-0.52133,1.33497,0.65130,-0.49322,1.68834,-0.06987,-0.30452,0.02386,1.31451,0.18045,-1.16473,0.83039,0.41668,0.87271,0.62909,1.68730,0.23762,-0.51496,-0.72524,2.67911,-0.67074,-0.26349,-1.58791,-1.41985,1.73549,-0.43868,0
-0.33404,0.66869,-0.33997,0.27719,0.23193,0.16816,0.08504,0.49732,-0.43225,-0.07803,-0.27045,-0.33110,0.60781,0.25401,-0.99004,0.08657,0.79339,0.22473,-0.00208,0.42608,0.54877,0.05826,0.48746,0.93529,-0.03222,0.61076,0.02621,0.88119,0
0.32033,1.03268,0.19776,0.26432,-0.20225,-0.25925,0.18500,-0.18979,-1.16820,-0.25720,0.33341,-0.39109,0.31277,0.93064,-0.51848,0.68759,0.06143,0.43715,-0.31192,0.70027,0.62938,-0.79911,-1.14923,0.42946,0.84137,-0.87410,0.47055,0.12100,0
